"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Stock Return";"First-order Autocorellation"
;"Overarching comments";;;"Analysis performed successfully";;;;;;;;;;;
1;"S&P500 ES ENERGY";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;-0.0188;-2.1429;-0.0004;-0.0001;0.0133;-0.0001;0.0214
2;"S&P500 ES HEALTH CARE";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.0004;-2.1429;0.0003;-0.0002;0.0097;0.0007;0.005
3;"S&P500 ES REAL ESTATE";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.0107;-2.1429;0.0006;-0.0001;0.0091;0.0008;-0.0091
4;"S&P500 ES INFO TECHNOLOGY";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;-0.0008;-2.1429;0.0011;-0.0002;0.0127;0.0015;-0.0767
5;"S&P500 ES FINANCIALS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;-0.0086;-2.1429;0.0006;-0.0001;0.0106;0.0008;-0.0305
6;"S&P500 TRANSPORTATION";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;-0.0186;-2.1429;0.0002;-0.0002;0.0129;0.0005;-0.0093
7;"S&P500 PHARMACEUTICALS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.0004;-2.1429;0;-0.0002;0.0097;0.0004;-0.0327
8;"S&P500 TELECOM SERV";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.0043;-2.1429;0.0005;-0.0001;0.0102;0.0007;-0.0029
9;"S&P500 HOTELS REST & LEISURE IN";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;-0.0182;-2.1429;0.0006;-0.0002;0.0089;0.001;-0.0533
10;"S&P500 FOOD RETAIL";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.0092;-2.1429;6.9796E-7;-0.0002;0.0183;0.0005;0.0135
11;"S&P500 FOOD DISTRIBUTORS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed with warnings: It was not possible to calculate both market and firm returns on 250 days in the estimation window. To compensate, we extended the estimation window accordingly by 1 day(s). The event window seems to include an unexpected number of days the firm's stock has not been traded on";250;-31;2018-12-06;2019-12-04;0.005;-2.1429;0.0009;-0.0001;0.0105;0.001;-0.0198
